PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS
1642843,Cooper Flagg,1610612742,DAL,19.0,49,17,32,0.347,1669.49,381,790,0.482,52,172,0.302,185,230,0.804,56,265,321,202,108,58,39,105,999,-155
1630557,Corey Kispert,1610612737,ATL,26.0,35,9,26,0.257,714.0983333333334,115,248,0.464,54,149,0.362,51,62,0.823,13,71,84,60,29,14,5,37,335,-149
1641854,Craig Porter Jr.,1610612739,CLE,25.0,49,33,16,0.673,875.9466666666667,92,201,0.458,26,69,0.377,18,33,0.545,67,101,168,155,43,50,30,56,228,78
1642938,Curtis Jones,1610612743,DEN,24.0,6,4,2,0.667,30.816666666666666,4,14,0.286,1,9,0.111,0,0,0.0,1,4,5,3,1,0,0,3,9,4
1626156,D'Angelo Russell,1610612764,WAS,29.0,26,9,17,0.346,494.775,94,232,0.405,33,112,0.295,43,60,0.717,8,53,61,104,49,12,2,30,264,-41
1641747,DaRon Holmes II,1610612743,DEN,23.0,15,9,6,0.6,175.97666666666666,19,43,0.442,14,34,0.412,6,8,0.75,5,19,24,15,5,0,4,16,58,-24
1631342,Daeqwon Plowden,1610612758,SAC,27.0,7,0,7,0.0,160.2,16,48,0.333,6,32,0.188,4,4,1.0,14,9,23,11,4,2,1,12,42,-38
1630625,Dalano Banton,1610612746,LAC,26.0,2,1,1,0.5,9.683333333333334,3,4,0.75,0,0,0.0,0,0,0.0,1,0,1,2,1,1,0,0,6,2
1631207,Dalen Terry,1610612755,PHI,23.0,35,14,21,0.4,384.1333333333333,45,104,0.433,19,47,0.404,9,17,0.529,19,46,65,44,22,22,11,33,118,-39
1642261,Dalton Knecht,1610612747,LAL,24.0,43,25,18,0.581,490.46166666666664,76,170,0.447,30,98,0.306,14,20,0.7,13,52,65,15,19,9,9,40,196,-52
1629655,Daniel Gafford,1610612742,DAL,27.0,38,8,30,0.211,813.4633333333334,117,185,0.632,0,0,0.0,71,94,0.755,81,166,247,35,50,29,51,100,305,-107
1642450,Daniss Jenkins,1610612765,DET,24.0,44,34,10,0.773,742.0766666666667,127,299,0.425,43,113,0.381,58,73,0.795,26,57,83,140,58,40,7,62,355,128
1642874,Danny Wolf,1610612751,BKN,21.0,39,12,27,0.308,786.3083333333333,119,294,0.405,45,138,0.326,44,56,0.786,42,142,184,77,42,22,19,76,327,-106
203967,Dario Saric,1610612758,SAC,31.0,5,1,4,0.2,41.248333333333335,1,6,0.167,1,3,0.333,2,2,1.0,1,5,6,2,2,0,0,3,5,0
1629636,Darius Garland,1610612746,LAC,26.0,26,13,13,0.5,791.9683333333334,170,377,0.451,59,164,0.36,68,79,0.861,12,51,63,180,73,21,3,48,467,-40
1642357,David Jones Garcia,1610612759,SAS,24.0,11,7,4,0.636,67.975,13,25,0.52,3,5,0.6,3,6,0.5,4,9,13,18,5,6,1,6,32,38
1630558,Davion Mitchell,1610612748,MIA,27.0,46,25,21,0.543,1328.565,163,348,0.468,55,137,0.401,35,53,0.66,17,97,114,324,75,51,6,125,416,194
1630549,Day'Ron Sharpe,1610612751,BKN,24.0,51,15,36,0.294,944.0333333333333,168,275,0.611,7,32,0.219,91,134,0.679,140,204,344,116,82,56,21,118,434,-45
1628368,De'Aaron Fox,1610612759,SAS,28.0,45,32,13,0.711,1441.7566666666667,326,674,0.484,90,255,0.353,132,166,0.795,26,147,173,282,109,57,13,100,874,158
1629631,De'Andre Hunter,1610612758,SAC,28.0,45,24,21,0.533,1175.4866666666667,208,501,0.415,75,246,0.305,124,143,0.867,30,155,185,90,75,30,6,112,615,-21
1629001,De'Anthony Melton,1610612744,GSW,27.0,28,16,12,0.571,609.2066666666667,117,276,0.424,39,132,0.295,54,66,0.818,15,63,78,66,48,44,11,62,327,219
201599,DeAndre Jordan,1610612740,NOP,37.0,2,0,2,0.0,23.3,4,5,0.8,0,0,0.0,1,2,0.5,4,6,10,0,1,0,0,1,9,-26
201942,DeMar DeRozan,1610612758,SAC,36.0,56,12,44,0.214,1813.0066666666667,370,749,0.494,41,122,0.336,266,308,0.864,28,149,177,211,63,65,14,114,1047,-465
1629731,Dean Wade,1610612739,CLE,29.0,43,26,17,0.605,980.365,85,204,0.417,51,150,0.34,27,36,0.75,35,143,178,68,13,35,17,68,248,97
1629028,Deandre Ayton,1610612747,LAL,27.0,46,28,18,0.609,1298.9433333333334,278,412,0.675,0,0,0.0,53,82,0.646,117,272,389,41,63,29,44,107,609,-31
1630166,Deni Avdija,1610612757,POR,25.0,46,22,24,0.478,1576.575,354,765,0.463,102,295,0.346,348,434,0.802,53,277,330,305,178,38,28,122,1158,-18
203471,Dennis Schröder,1610612739,CLE,32.0,44,12,32,0.273,1134.48,183,457,0.4,59,181,0.326,115,140,0.821,22,110,132,226,84,37,7,71,540,-228
1641726,Dereck Lively II,1610612742,DAL,22.0,7,3,4,0.429,115.27333333333333,11,18,0.611,0,0,0.0,8,10,0.8,14,23,37,13,10,4,11,21,30,14
1642852,Derik Queen,1610612740,NOP,21.0,55,15,40,0.273,1431.7633333333333,259,527,0.491,15,54,0.278,139,179,0.777,89,308,397,228,132,57,50,156,672,-223
1627884,Derrick Jones Jr.,1610612746,LAC,28.0,22,10,12,0.455,545.54,80,148,0.541,28,70,0.4,31,40,0.775,17,39,56,27,17,19,24,44,219,2
1628401,Derrick White,1610612738,BOS,31.0,52,33,19,0.635,1780.8833333333334,310,796,0.389,149,459,0.325,127,142,0.894,53,175,228,290,93,62,73,83,896,381
1630217,Desmond Bane,1610612753,ORL,27.0,53,28,25,0.528,1801.1216666666667,376,797,0.472,102,274,0.372,186,200,0.93,66,156,222,221,116,48,27,163,1040,51
1626164,Devin Booker,1610612756,PHX,29.0,43,27,16,0.628,1458.2566666666667,356,782,0.455,74,238,0.311,297,344,0.863,35,136,171,270,143,39,12,117,1083,157
1642269,Devin Carter,1610612758,SAC,23.0,20,1,19,0.05,267.57666666666665,43,111,0.387,9,48,0.188,27,33,0.818,12,32,44,38,20,12,5,24,122,-57
1630170,Devin Vassell,1610612759,SAS,25.0,41,30,11,0.732,1263.5533333333333,207,490,0.422,96,271,0.354,68,80,0.85,19,139,158,95,37,35,17,70,578,233
1628415,Dillon Brooks,1610612756,PHX,30.0,49,29,20,0.592,1523.0266666666666,381,864,0.441,116,338,0.343,161,188,0.856,38,142,180,88,89,52,8,165,1039,-25
1641794,Dillon Jones,1610612752,NYK,24.0,4,4,0,1.0,21.138333333333332,1,5,0.2,1,3,0.333,4,4,1.0,2,3,5,3,0,2,0,3,7,-2
1627734,Domantas Sabonis,1610612758,SAC,29.0,19,3,16,0.158,563.5883333333334,120,221,0.543,5,27,0.185,56,77,0.727,64,152,216,78,51,18,4,66,301,-177
1631230,Dominick Barlow,1610612755,PHI,22.0,43,25,18,0.581,1031.6333333333334,146,262,0.557,18,63,0.286,57,74,0.77,96,119,215,52,35,42,26,86,367,5
1642270,Donovan Clingan,1610612757,POR,21.0,52,27,25,0.519,1432.8183333333334,233,443,0.526,51,159,0.321,87,129,0.674,244,353,597,107,55,24,75,121,604,0
1628378,Donovan Mitchell,1610612739,CLE,29.0,51,32,19,0.627,1718.545,516,1060,0.487,185,492,0.376,261,306,0.853,41,188,229,302,159,79,15,125,1478,304
1628978,Donte DiVincenzo,1610612750,MIN,29.0,56,34,22,0.607,1744.5983333333334,242,588,0.412,171,447,0.383,61,81,0.753,56,195,251,234,84,79,25,144,716,314
1627827,Dorian Finney-Smith,1610612745,HOU,32.0,20,13,7,0.65,316.06333333333333,20,67,0.299,13,53,0.245,5,5,1.0,17,30,47,15,11,7,4,33,58,11
203926,Doug McDermott,1610612758,SAC,34.0,11,1,10,0.091,110.88666666666667,15,38,0.395,14,37,0.378,0,0,0.0,1,7,8,3,6,2,1,7,44,-39
1642962,Drake Powell,1610612751,BKN,20.0,42,12,30,0.286,802.4366666666666,90,209,0.431,32,107,0.299,49,55,0.891,13,58,71,65,42,21,7,60,261,-212
203110,Draymond Green,1610612744,GSW,35.0,46,25,21,0.543,1228.7583333333334,143,343,0.417,70,214,0.327,41,58,0.707,34,230,264,237,127,39,29,141,397,13
1629234,Drew Eubanks,1610612758,SAC,29.0,32,7,25,0.219,429.7366666666667,69,114,0.605,1,5,0.2,24,43,0.558,27,57,84,9,25,12,19,41,163,-116
1641809,Drew Peterson,1610612766,CHA,26.0,6,1,5,0.167,64.26833333333333,2,16,0.125,0,12,0.0,1,2,0.5,3,6,9,2,0,3,1,3,5,-10
1631166,Drew Timme,1610612747,LAL,25.0,18,10,8,0.556,149.95666666666668,26,46,0.565,7,17,0.412,4,7,0.571,8,15,23,15,6,5,0,10,63,17
1630696,Dru Smith,1610612748,MIA,28.0,55,28,27,0.509,948.38,113,275,0.411,35,114,0.307,77,92,0.837,48,95,143,152,47,81,17,84,338,-41
1629130,Duncan Robinson,1610612765,DET,31.0,51,39,12,0.765,1436.8666666666666,211,478,0.441,149,372,0.401,54,73,0.74,18,119,137,95,36,33,16,110,625,318
1641871,Duop Reath,1610612757,POR,29.0,32,16,16,0.5,258.17,33,74,0.446,23,55,0.418,5,6,0.833,10,28,38,10,7,5,8,28,94,-39
203939,Dwight Powell,1610612742,DAL,34.0,40,13,27,0.325,541.195,37,59,0.627,0,2,0.0,40,62,0.645,53,89,142,38,20,21,12,73,114,97
1642928,Dylan Cardwell,1610612758,SAC,24.0,29,7,22,0.241,615.53,67,112,0.598,0,1,0.0,22,40,0.55,91,132,223,36,24,22,47,108,156,-18
1642844,Dylan Harper,1610612759,SAS,19.0,43,31,12,0.721,933.3683333333333,189,405,0.467,27,107,0.252,63,84,0.75,29,116,145,158,58,36,15,79,468,183
1630700,Dyson Daniels,1610612737,ATL,22.0,53,26,27,0.491,1779.9933333333333,274,550,0.498,10,75,0.133,56,91,0.615,117,225,342,327,104,97,22,116,614,15
